EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-11-2017
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTANDER CMT, SPAIN (STAID: 3922)
Blended and updated with sources:19972 19981 908023 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3922, 19972,19240101,    1,    0
  3922, 19972,19240102,   25,    0
  3922, 19972,19240103,    7,    0
  3922, 19972,19240104,   96,    0
  3922, 19972,19240105,    0,    0
  3922, 19972,19240106,    0,    0
  3922, 19972,19240107,    4,    0
  3922, 19972,19240108,   15,    0
  3922, 19972,19240109,   65,    0
  3922, 19972,19240110,   13,    0
  3922, 19972,19240111,    0,    0
  3922, 19972,19240112,    0,    0
  3922, 19972,19240113,    0,    0
  3922, 19972,19240114,    0,    0
  3922, 19972,19240115,    5,    0
  3922, 19972,19240116,   33,    0
  3922, 19972,19240117,    6,    0
  3922, 19972,19240118,    0,    0
  3922, 19972,19240119,   30,    0
  3922, 19972,19240120,    0,    0
  3922, 19972,19240121,    0,    0
  3922, 19972,19240122,  111,    0
  3922, 19972,19240123,   37,    0
  3922, 19972,19240124,   49,    0
  3922, 19972,19240125,   37,    0
  3922, 19972,19240126,    1,    0
  3922, 19972,19240127,    0,    0
  3922, 19972,19240128,   47,    0
  3922, 19972,19240129,   25,    0
  3922, 19972,19240130,    0,    0
  3922, 19972,19240131,    0,    0
  3922, 19972,19240201,    0,    0
  3922, 19972,19240202,    8,    0
  3922, 19972,19240203,    0,    0
  3922, 19972,19240204,    0,    0
  3922, 19972,19240205,    0,    0
  3922, 19972,19240206,    1,    0
  3922, 19972,19240207,    0,    0
  3922, 19972,19240208,    6,    0
  3922, 19972,19240209,   24,    0
  3922, 19972,19240210,   10,    0
  3922, 19972,19240211,   14,    0
  3922, 19972,19240212,   11,    0
  3922, 19972,19240213,   38,    0
  3922, 19972,19240214,    6,    0
  3922, 19972,19240215,    0,    0
  3922, 19972,19240216,    0,    0
  3922, 19972,19240217,    0,    0
  3922, 19972,19240218,    0,    0
  3922, 19972,19240219,   89,    0
  3922, 19972,19240220,    1,    0
  3922, 19972,19240221,   12,    0
  3922, 19972,19240222,    0,    0
  3922, 19972,19240223,    7,    0
  3922, 19972,19240224,    0,    0
  3922, 19972,19240225,   43,    0
  3922, 19972,19240226,   52,    0
  3922, 19972,19240227,   20,    0
  3922, 19972,19240228,   25,    0
  3922, 19972,19240229,    9,    0
  3922, 19972,19240301,    0,    0
  3922, 19972,19240302,   17,    0
  3922, 19972,19240303,   15,    0
  3922, 19972,19240304,    0,    0
  3922, 19972,19240305,    2,    0
  3922, 19972,19240306,    0,    0
  3922, 19972,19240307,    0,    0
  3922, 19972,19240308,    0,    0
  3922, 19972,19240309,    0,    0
  3922, 19972,19240310,    0,    0
  3922, 19972,19240311,    0,    0
  3922, 19972,19240312,    0,    0
  3922, 19972,19240313,    0,    0
  3922, 19972,19240314,    0,    0
  3922, 19972,19240315,    0,    0
  3922, 19972,19240316,    0,    0
  3922, 19972,19240317,    0,    0
  3922, 19972,19240318,    0,    0
  3922, 19972,19240319,    9,    0
  3922, 19972,19240320,   52,    0
  3922, 19972,19240321,    0,    0
  3922, 19972,19240322,    0,    0
  3922, 19972,19240323,    0,    0
  3922, 19972,19240324,    6,    0
  3922, 19972,19240325,   26,    0
  3922, 19972,19240326,   15,    0
  3922, 19972,19240327,   10,    0
  3922, 19972,19240328,   11,    0
  3922, 19972,19240329,   55,    0
  3922, 19972,19240330,  126,    0
  3922, 19972,19240331,    3,    0
  3922, 19972,19240401,   83,    0
  3922, 19972,19240402,  118,    0
  3922, 19972,19240403,   16,    0
  3922, 19972,19240404,    0,    0
  3922, 19972,19240405,    4,    0
  3922, 19972,19240406,   18,    0
  3922, 19972,19240407,    3,    0
  3922, 19972,19240408,    1,    0
  3922, 19972,19240409,   24,    0
  3922, 19972,19240410,  204,    0
  3922, 19972,19240411,   18,    0
  3922, 19972,19240412,    0,    0
  3922, 19972,19240413,    0,    0
  3922, 19972,19240414,    0,    0
  3922, 19972,19240415,   31,    0
  3922, 19972,19240416,    0,    0
  3922, 19972,19240417,    0,    0
  3922, 19972,19240418,    0,    0
  3922, 19972,19240419,    0,    0
  3922, 19972,19240420,    0,    0
  3922, 19972,19240421,    0,    0
  3922, 19972,19240422,    0,    0
  3922, 19972,19240423,    4,    0
  3922, 19972,19240424,    0,    0
  3922, 19972,19240425,    0,    0
  3922, 19972,19240426,    6,    0
  3922, 19972,19240427,    0,    0
  3922, 19972,19240428,    8,    0
  3922, 19972,19240429,    0,    0
  3922, 19972,19240430,    0,    0
  3922, 19972,19240501,    0,    0
  3922, 19972,19240502,    0,    0
  3922, 19972,19240503,    0,    0
  3922, 19972,19240504,    5,    0
  3922, 19972,19240505,  105,    0
  3922, 19972,19240506,   47,    0
  3922, 19972,19240507,   30,    0
  3922, 19972,19240508,   86,    0
  3922, 19972,19240509,    0,    0
  3922, 19972,19240510,    0,    0
  3922, 19972,19240511,    0,    0
  3922, 19972,19240512,    0,    0
  3922, 19972,19240513,    3,    0
  3922, 19972,19240514,    2,    0
  3922, 19972,19240515,    7,    0
  3922, 19972,19240516,    4,    0
  3922, 19972,19240517,    0,    0
  3922, 19972,19240518,    4,    0
  3922, 19972,19240519,    0,    0
  3922, 19972,19240520,    0,    0
  3922, 19972,19240521,    0,    0
  3922, 19972,19240522,    1,    0
  3922, 19972,19240523,    6,    0
  3922, 19972,19240524,   59,    0
  3922, 19972,19240525,   58,    0
  3922, 19972,19240526,    2,    0
  3922, 19972,19240527,    0,    0
  3922, 19972,19240528,    0,    0
  3922, 19972,19240529,    0,    0
  3922, 19972,19240530,    2,    0
  3922, 19972,19240531,   45,    0
  3922, 19972,19240601,   23,    0
  3922, 19972,19240602,    0,    0
  3922, 19972,19240603,    0,    0
  3922, 19972,19240604,   21,    0
  3922, 19972,19240605,    2,    0
  3922, 19972,19240606,    0,    0
  3922, 19972,19240607,   43,    0
  3922, 19972,19240608,    3,    0
  3922, 19972,19240609,    0,    0
  3922, 19972,19240610,    0,    0
  3922, 19972,19240611,    1,    0
  3922, 19972,19240612,   62,    0
  3922, 19972,19240613,   36,    0
  3922, 19972,19240614,    0,    0
  3922, 19972,19240615,    0,    0
  3922, 19972,19240616,    0,    0
  3922, 19972,19240617,    0,    0
  3922, 19972,19240618,    0,    0
  3922, 19972,19240619,    2,    0
  3922, 19972,19240620,    0,    0
  3922, 19972,19240621,   16,    0
  3922, 19972,19240622,   51,    0
  3922, 19972,19240623,    0,    0
  3922, 19972,19240624,    0,    0
  3922, 19972,19240625,    0,    0
  3922, 19972,19240626,    0,    0
  3922, 19972,19240627,   12,    0
  3922, 19972,19240628,    7,    0
  3922, 19972,19240629,    0,    0
  3922, 19972,19240630,   58,    0
  3922, 19972,19240701,    0,    0
  3922, 19972,19240702,    0,    0
  3922, 19972,19240703,    6,    0
